"","marks.unit","marks.id","marks.suffix","marks.prism","marks.z.x","marks.type.x","marks.geo.x","marks.spit","marks.exc","marks.plunge","marks.bearing","marks.length.x","marks.max_width","marks.thickness","marks.collected.x","marks.comment","marks.date.x","marks.time","marks.year","marks.date.y","marks.z.y","marks.type.y","marks.geo.y","marks.collected.y","marks.integrity","marks.articulation","marks.nsp.bone","marks.nsp.tooth","marks.nsp.total","marks.skeletal.element","marks.skeletal.part","marks.bone.portion","marks.voorhies.group","marks.BM.category","marks.bone.shape..cube.tube.flat.","marks.bone.structure..dense.trabecular.","marks.description","marks.class","marks.order","marks.family","marks.genus","marks.species","marks.taxon","marks.stratified.surface","marks.length.y","marks.carnivore_gnawing","marks.refit","marks.remarks","marks.reference_id.if_from_plaster_jacket.","marks.totalstation_comment","mx","my"
"594","E20","9","0",0.17,-3.99,"Tooth","4","4","NT",NA,NA,NA,NA,NA,"yes","fragment, rhino",2015-06-29,"9:53:13 AM","2015","6/29/2015",-3.99,"Tooth","4","yes","fragment","isolated",NA,"1","1","tooth","cranial","fragment",NA,NA,NA,NA,"upper molar","Mammalia","Artiodactyla","Bovidae","Bison","sp.","Bison sp.","stratified",NA,NA,NA,NA,NA,"fragment, rhino",-20.968,4.04
"596","E20","13","0",0,-3.589,"Bone","4",NA,"MI",60,230,56,NA,NA,"no","not collected, bone frag",2016-06-01,"10:08:39 AM","2016","6/1/2016",-3.589,"Bone","4","no","fragment","isolated","1",NA,"1",NA,NA,"fragment",NA,NA,NA,NA,"bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",56,NA,NA,NA,NA,"not collected, bone frag",-20.11,4.228
"597","E20","14","0",0,-4.01,"Tooth","4",NA,"NT",NA,NA,NA,NA,NA,"yes","isolated tooth, bovid",2016-06-02,"2:33:35 PM","2016","6/2/2016",-4.01,"Tooth","4","yes","complete","isolated",NA,"1","1","tooth","cranial",NA,NA,NA,NA,NA,"upper molar","Mammalia","Artiodactyla","Bovidae",NA,NA,"Bovidae","stratified",NA,NA,NA,NA,NA,"isolated tooth, bovid",-20.95,4.083
"598","E20","15","0",0,-3.923,"Bone","4",NA,"NT",16,300,120,60,NA,"yes","distal tibia frag, equus?",2016-06-02,"2:34:32 PM","2016","6/2/2016",-3.923,"Bone","4","yes","fragment","isolated","1",NA,"1","tibia","appendicular","distal",NA,NA,NA,NA,"tibia, distal frag.","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"distal tibia frag, equus?",-20.954,4.232
"599","E20","16","0",0,-3.968,"ESR Sample","4",NA,"NT",NA,NA,NA,NA,NA,"yes","ESR Sample #4: isolated tooth, bovid - ESR sample",2016-06-02,"2:52:55 PM","2016","6/2/2016",-3.968,"Tooth","4","yes","fragment","isolated",NA,"1","1","tooth","cranial","fragment",NA,NA,NA,NA,"tooth","Mammalia","Artiodactyla","Bovidae",NA,NA,"Bovidae","stratified",NA,NA,NA,"ESR",NA,"isolated tooth, bovid - ESR sample",-20.901,4.183
"600","E20","17","0",0,-3.94,"ESR Sample","4",NA,"NT",NA,NA,NA,NA,NA,"yes","ESR Sample #3: isolated tooth, bovid",2016-06-02,"2:58:11 PM","2016","6/2/2016",-3.94,"Tooth","4","yes","fragment","isolated",NA,"1","1","tooth","cranial","fragment",NA,NA,NA,NA,"tooth","Mammalia","Artiodactyla","Bovidae",NA,NA,"Bovidae","stratified",NA,NA,NA,"ESR",NA,"isolated tooth, bovid - ESR sample",-20.998,4.228
"601","E20","18","0",0,-3.735,"Bone","4",NA,"MI",NA,NA,NA,NA,NA,"no","not collected, vertebra",2016-06-03,"1:51:04 PM","2016","6/3/2016",-3.735,"Bone","4","no","complete","isolated","1",NA,"1","vertebra","axial",NA,"I",NA,NA,NA,"vertebra","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,NA,NA,NA,NA,"not collected, vertebra",-20.691,4.608
"602","E20","19","0",0,-3.935,"Bone","4",NA,"NT",20,270,320,55,NA,"no","not collected, long bone frag",2016-06-06,"11:39:40 AM","2016","6/6/2016",-3.935,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",320,NA,NA,NA,NA,"not collected, long bone frag",-20.925,4.346
"603","E20","20","0",0.3000000119,-4.12,"Bone","4",NA,"MI",NA,NA,90,NA,NA,"no","metapodial frag",2016-06-06,"11:43:47 AM","2016","6/6/2016",-4.12,"Bone","4","no","fragment","isolated","1",NA,"1","metapode","appendicular","fragment",NA,NA,NA,NA,"metapode frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",90,NA,NA,NA,NA,NA,-20.596,4.51
"604","E20","21","0",0,-3.983,"Tooth","4",NA,"NT",NA,NA,NA,NA,NA,"yes","isolated tooth, equus",2016-06-06,"3:30:57 PM","2016","6/6/2016",-3.983,"Tooth","4","yes","complete","isolated",NA,"1","1","tooth","cranial",NA,NA,NA,NA,NA,"upper tooth","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"isolated tooth, equus",-20.97,4.366
"605","E20","22","0",0,-3.952,"Tooth","4",NA,"NT",NA,NA,NA,NA,NA,"yes","isolated tooth, equus",2016-06-06,"3:32:45 PM","2016","6/6/2016",-3.952,"Tooth","4","yes","complete","isolated",NA,"1","1","tooth","cranial",NA,NA,NA,NA,NA,"upper tooth","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"isolated tooth, equus",-20.967,4.459
"606","E20","23","0",0,-3.953,"Tooth","4",NA,"NT",NA,NA,NA,NA,NA,"yes","isolated tooth, equus",2016-06-08,"4:13:35 PM","2016","6/8/2016",-3.953,"Tooth","4","yes","complete","isolated",NA,"1","1","tooth","cranial",NA,NA,NA,NA,NA,"upper tooth","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"isolated tooth, equus",-20.961,4.534
"607","E20","24","0",0,-3.817,"Bone","4",NA,"MI",NA,NA,110,90,NA,"yes","vertebra,",2016-06-09,"10:01:53 AM","2016","6/9/2016",-3.817,"Bone","4","yes","fragment","isolated","1",NA,"1","vertebra","axial","fragment",NA,NA,NA,NA,"vertebra","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,NA,NA,NA,NA,"vertebra,",-20.595,4.311
"608","E20","25","0",0,-3.765,"Bone","4",NA,"MI",NA,NA,NA,NA,NA,"no","not collected, vertebra frag",2016-06-09,"11:14:30 AM","2016","6/9/2016",-3.765,"Bone","4","no","fragment","isolated","1",NA,"1","vertebra","axial","fragment",NA,NA,NA,NA,"vertebra frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,NA,NA,NA,NA,"not collected, vertebra frag",-20.671,4.606
"609","E20","26","0",0,-3.879,"Bone","4",NA,"NT",20,294,140,35,NA,"no","not collected, long bone frag",2016-06-09,"12:04:23 PM","2016","6/9/2016",-3.879,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",140,NA,NA,NA,NA,"not collected, long bone frag",-20.828,4.561
"610","E20","27","0",0,-3.863,"Bone","4",NA,"MI",14,104,150,30,NA,"no","not collected, long bone frag",2016-06-09,"1:17:28 PM","2016","6/9/2016",-3.863,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",150,NA,NA,NA,NA,"not collected, long bone frag",-20.173,4.531
"611","E20","28","0",0,-4.021,"Bone","4",NA,"MI",2,192,80,20,NA,"no","not collected, frag",2016-06-10,"11:20:45 AM","2016","6/10/2016",-4.021,"Bone","4","no","fragment","isolated","1",NA,"1",NA,NA,"fragment",NA,NA,NA,NA,"bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",80,NA,NA,NA,NA,"not collected, frag",-20.319,4.331
"615","E21","2","0",0,-3.526,"Bone","4","1","NT",0,104,250,NA,NA,"no","not collected, long bone fragment in Geo 3/4",2015-06-24,"9:27:18 AM","2015","6/24/2015",-3.526,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",250,NA,NA,NA,NA,"not collected, long bone fragment in Geo 3/4",-21.362,4.041
"616","E21","3","0",0,-3.522,"Bone","4","1","NT",10,280,80,NA,NA,"no","not collected, long bone fragment in Geo 3/4",2015-06-24,"9:28:27 AM","2015","6/24/2015",-3.522,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",80,NA,NA,NA,NA,"not collected, long bone fragment in Geo 3/4",-21.303,4.223
"617","E21","4","0",0.05,-3.528,"Tooth","4","1","NT",28,188,50,NA,NA,"no","not collected, fragment, equus",2015-06-24,"9:30:23 AM","2015","6/24/2015",-3.528,"Tooth","4","no","fragment","isolated",NA,"1","1","tooth","cranial","fragment",NA,NA,NA,NA,"tooth frag.","Mammalia","Perissodactyla","Equidae","Equus",NA,"Equus","stratified",50,NA,NA,NA,NA,"not collected, fragment, equus",-21.704,4.393
"618","E21","7","0",0,-3.535,"Tooth","4","1","NT",NA,NA,NA,NA,NA,"yes","fragment, equus",2015-06-24,"12:23:17 PM","2015","6/24/2015",-3.535,"Tooth","4","yes","fragment","isolated",NA,"1","1","tooth","cranial","fragment",NA,NA,NA,NA,"upper premolar/molar","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"fragment, equus",-21,4.158
"619","E21","8","0",0,-3.538,"Bone","4","1","NT",16,298,NA,NA,NA,"yes","phalanx",2015-06-24,"12:55:43 PM","2015","6/24/2015",-3.538,"Bone","4","yes","complete","isolated","1",NA,"1","phalanx","appendicular",NA,"I/II","BM4",NA,NA,"first phalanx","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"phalanx",-21.045,4.002
"620","E21","11","0",0.04,-3.53,"Bone","4","1","NT",0,156,220,NA,NA,"no","not collected, long bone fragment, quad A",2015-06-25,"10:32:21 AM","2015","6/25/2015",-3.53,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",220,NA,NA,NA,NA,"not collected, long bone fragment, quad A",-21.908,4.303
"621","E21","12","0",0.01,-3.549,"Bone","4","1","NT",0,98,90,NA,NA,"no","not collected, long bone fragment, quad A",2015-06-25,"10:34:20 AM","2015","6/25/2015",-3.549,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",90,NA,NA,NA,NA,"not collected, long bone fragment, quad A",-21.833,4.192
"622","E21","13","0",0.04,-3.557,"Bone","4","1","NT",0,136,150,NA,NA,"no","not collected, long bone fragment, quad A",2015-06-25,"10:35:55 AM","2015","6/25/2015",-3.557,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",150,NA,NA,NA,NA,"not collected, long bone fragment, quad A",-21.938,4.135
"623","E21","14","0",0.14,-3.802,"Bone","4","3","Prof.GK",6,310,NA,NA,NA,"yes","distal part tibia, equus",2015-06-25,"11:00:13 AM","2015","6/25/2015",-3.802,"Bone","4","yes","fragment","isolated","1",NA,"1","tibia","appendicular","distal",NA,NA,NA,NA,"tibia, distal frag.","Mammalia","Artiodactyla",NA,NA,NA,"Artiodactyla","stratified",NA,NA,NA,NA,NA,"distal part tibia, equus",-21.191,4.26
"624","E21","17","0",0.1000000015,-3.769,"Bone","4","3","NT",NA,NA,NA,NA,NA,"yes","epiphysis of long bone",2015-06-26,"2:05:42 PM","2015","6/26/2015",-3.769,"Bone","4","yes","fragment","isolated","1",NA,"1","metapode","appendicular","proximal",NA,NA,NA,NA,"metacarpal, proximal frag.","Mammalia","Proboscidea","Elephantidae",NA,NA,"Elephantidae","stratified",NA,NA,NA,NA,NA,"epiphysis of long bone",-21.03,4.274
"626","E21","21","0",0,-3.909,"ESR Sample","4",NA,"NT",NA,NA,NA,NA,NA,"yes","ESR Sample #2: isolated tooth",2016-06-02,"2:59:12 PM","2016","6/2/2016",-3.909,"Tooth","4","yes","fragment","isolated",NA,"1","1","tooth","cranial","fragment",NA,NA,NA,NA,"tooth","Mammalia","Artiodactyla","Bovidae",NA,NA,"Bovidae","stratified",NA,NA,NA,"ESR",NA,"isolated tooth, - ESR sample",-21.276,4.433
"629","E21","25","0",0,-3.708,"Bone","4",NA,"NT",0,70,180,100,NA,"yes","skull frag",2016-06-01,"1:02:16 PM","2016","6/1/2016",-3.708,"Bone","4","yes","fragment","isolated","1",NA,"1","cranium","cranial","fragment",NA,NA,NA,NA,"cranium frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,NA,NA,NA,NA,"skull frag",-21.898,4.215
"630","E21","26","0",0,-3.92,"Bone","4",NA,"NT",8,130,105,30,NA,"no","not collected, frag",2016-06-01,"2:58:53 PM","2016","6/1/2016",-3.92,"Bone","4","no","fragment","isolated","1",NA,"1",NA,NA,"fragment",NA,NA,NA,NA,"bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",105,NA,NA,NA,NA,"not collected, frag",-21.292,4.083
"631","E21","27","0",0,-3.939,"Bone","4",NA,"NT",25,198,NA,NA,NA,"no","not collected, long bone frag",2016-06-01,"3:13:57 PM","2016","6/1/2016",-3.939,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,NA,NA,NA,NA,"not collected, long bone frag",-21.369,4.108
"632","E21","28","0",0,-3.782,"Bone","4",NA,"NT",10,258,250,35,NA,"no","not collected, long bone frag",2016-06-02,"11:37:08 AM","2016","6/2/2016",-3.782,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",250,NA,NA,NA,NA,"not collected, long bone frag",-21.048,4.73
"633","E21","29","0",0,-3.967,"Bone","4",NA,"NT",0,100,120,65,NA,"no","not collected, long bone frag",2016-06-02,"2:36:28 PM","2016","6/2/2016",-3.967,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",120,NA,NA,NA,NA,"not collected, long bone frag",-21.034,4.166
"634","E21","30","0",0.03,-3.999,"Bone","4",NA,"NT",4,100,250,45,NA,"no","not collected, long bone frag",2016-06-02,"2:37:46 PM","2016","6/2/2016",-3.999,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",250,NA,NA,NA,NA,"not collected, long bone frag",-21.004,4.117
"636","E21","32","0",0,-3.934,"Bone","4",NA,"NT",NA,NA,70,50,NA,"yes","cranium frag",2016-06-06,"9:42:35 AM","2016","6/6/2016",-3.934,"Bone","4","yes","fragment","isolated","1",NA,"1","?cranium",NA,"fragment",NA,NA,NA,NA,"?cranium frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,NA,NA,NA,NA,"cranium frag",-21.257,4.246
"637","E21","33","0",0,-3.957,"Bone","4",NA,"NT",30,300,75,30,NA,"no","not collected, long bone frag",2016-06-06,"11:37:47 AM","2016","6/6/2016",-3.957,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",75,NA,NA,NA,NA,"not collected, long bone frag",-21.053,4.352
"638","E21","34","0",0,-3.974,"Bone","4",NA,"NT",10,270,150,60,NA,"no","not collected, long bone frag",2016-06-06,"11:51:32 AM","2016","6/6/2016",-3.974,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",150,NA,NA,NA,NA,"not collected, long bone frag",-21.254,4.332
"639","E21","35","0",0,-3.974,"Bone","4",NA,"NT",0,40,60,40,NA,"no","not collected, frag",2016-06-06,"11:54:03 AM","2016","6/6/2016",-3.974,"Bone","4","no","fragment","isolated","1",NA,"1",NA,NA,"fragment",NA,NA,NA,NA,"bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",60,NA,NA,NA,NA,"not collected, frag",-21.14,4.338
"640","E21","36","0",0,-3.937,"Bone","4",NA,"NT",14,170,160,50,NA,"no","not collected, frag",2016-06-06,"11:59:27 AM","2016","6/6/2016",-3.937,"Bone","4","no","fragment","isolated","1",NA,"1",NA,NA,"fragment",NA,NA,NA,NA,"bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",160,NA,NA,NA,NA,"not collected, frag",-21.203,4.484
"641","E21","37","0",0,-3.917,"Bone","4",NA,"NT",8,333,240,50,NA,"yes","metapodial, equus",2016-06-06,"2:20:26 PM","2016","6/6/2016",-3.917,"Bone","4","yes","complete","isolated","1",NA,"1","metapode","appendicular",NA,"II","BM4",NA,NA,"metacarpal","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"metapodial, equus",-21.03,4.565
"642","E21","38","0",0,-3.949,"Tooth","4",NA,"NT",NA,NA,NA,NA,NA,"no","not collected,",2016-06-06,"3:22:52 PM","2016","6/6/2016",-3.949,"Tooth","4","no","fragment","isolated",NA,"1","1","tooth","cranial","fragment",NA,NA,NA,NA,"tooth frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,NA,NA,NA,NA,"not collected,",-21.001,4.5
"644","E21","40","0",0.01,-3.994,"Tooth","4",NA,"NT",NA,NA,NA,NA,NA,"yes","isolated tooth, artio",2016-06-06,"3:29:54 PM","2016","6/6/2016",-3.994,"Tooth","4","yes","fragment","isolated",NA,"1","1","tooth","cranial","fragment",NA,NA,NA,NA,"upper molar frag.","Mammalia","Artiodactyla","Bovidae",NA,NA,"Bovidae","stratified",NA,NA,NA,NA,NA,"isolated tooth, artio",-21.019,4.351
"645","E21","41","0",0,-3.984,"Tooth","4",NA,"NT",NA,NA,NA,NA,NA,"yes","isolated tooth, equus",2016-06-06,"3:31:34 PM","2016","6/6/2016",-3.984,"Tooth","4","yes","complete","isolated",NA,"1","1","tooth","cranial",NA,NA,NA,NA,NA,"P2","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"isolated tooth, equus",-21.013,4.411
"646","E21","42","0",0,-3.982,"Tooth","4",NA,"NT",NA,NA,NA,NA,NA,"yes","isolated tooth, equus",2016-06-06,"3:32:08 PM","2016","6/6/2016",-3.982,"Tooth","4","yes","complete","isolated",NA,"1","1","tooth","cranial",NA,NA,NA,NA,NA,"upper tooth","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"isolated tooth, equus",-21.127,4.485
"647","E21","44","0",0,-3.964,"Bone","4",NA,"NT",12,183,180,25,NA,"no","not collected, long bone frag",2016-06-08,"12:22:51 PM","2016","6/8/2016",-3.964,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",180,NA,NA,NA,NA,"not collected, long bone frag",-21.337,4.598
"649","E21","46","0",0,-4.007,"Tooth","4",NA,"NT",NA,NA,NA,NA,NA,"yes","isolated tooth, equus",2016-06-08,"3:14:16 PM","2016","6/8/2016",-4.007,"Tooth","4","yes","complete","isolated",NA,"1","1","tooth","cranial",NA,NA,NA,NA,NA,"upper tooth","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"isolated tooth, equus",-21.085,4.425
"650","E21","47","0",0.05,-4.118,"Bone","4",NA,"Prof.GK",0,54,80,NA,NA,"yes","mandibula frag, artio",2016-06-09,"10:23:15 AM","2016","6/9/2016",-4.118,"Bone","4","yes","fragment","isolated","1",NA,"1","mandible","cranial","fragment",NA,NA,NA,NA,"mandible frag.","Mammalia","Artiodactyla",NA,NA,NA,"Artiodactyla","stratified",NA,NA,NA,NA,NA,"mandibula frag, artio",-21.635,4.784
"651","E21","48","0",0.15,-4.108,"Tooth","4",NA,"Prof.GK",NA,NA,NA,NA,NA,"yes","isolated incisor, carivore",2016-06-09,"10:35:38 AM","2016","6/9/2016",-4.108,"Tooth","4","yes","complete","isolated",NA,"1","1","tooth","cranial",NA,NA,NA,NA,NA,"incisor","Mammalia","Carnivora",NA,NA,NA,"Carnivora","stratified",NA,NA,NA,NA,NA,"isolated incisor, carivore",-21.695,4.879
"652","E21","49","0",0.02,-4.143,"Bone","4",NA,"Prof.GK",0,150,120,20,NA,"no","not collected, frag",2016-06-09,"10:46:54 AM","2016","6/9/2016",-4.143,"Bone","4","no","fragment","isolated","1",NA,"1",NA,NA,"fragment",NA,NA,NA,NA,"bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",120,NA,NA,NA,NA,"not collected, frag",-21.726,4.713
"654","E21","51","0",0.1,-4.17,"Bone","4",NA,"Prof.GK",12,152,NA,NA,NA,"yes","tibia, juvenile",2016-06-09,"1:25:36 PM","2016","6/9/2016",-4.17,"Bone","4","yes","fragment","isolated","1",NA,"1","metapode","appendicular","proximal",NA,NA,NA,NA,"metatarsal, proximal frag.","Mammalia","Artiodactyla","Bovidae",NA,NA,"Bovidae","stratified",NA,NA,NA,NA,NA,"tibia, juvenile",-21.634,4.498
"658","E21","55","0",0.5,-4.177,"Bone","4",NA,"Prof.GK",22,140,120,NA,NA,"no","not collected, long bone frag",2016-06-10,"9:50:13 AM","2016","6/10/2016",-4.177,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",120,NA,NA,NA,NA,"not collected, long bone frag",-21.502,4.926
"659","E21","56","0",0.6,-4.151,"Bone","4",NA,"Prof.GK",12,250,100,30,NA,"no","not collected, frag",2016-06-10,"9:58:25 AM","2016","6/10/2016",-4.151,"Bone","4","no","fragment","isolated","1",NA,"1",NA,NA,"fragment",NA,NA,NA,NA,"bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",100,NA,NA,NA,NA,"not collected, frag",-21.646,4.982
"662","E21","59","0",0.6000000238,-4.161,"Bone","4",NA,"Prof.GK",8,217,190,30,NA,"no","not collected, frag",2016-06-10,"10:14:48 AM","2016","6/10/2016",-4.161,"Bone","4","no","fragment","isolated","1",NA,"1",NA,NA,"fragment",NA,NA,NA,NA,"bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",190,NA,NA,NA,NA,"not collected, frag",-21.678,4.984
"663","E21","60","0",0,-4.179,"Bone","4",NA,"Prof.GK",NA,NA,NA,NA,NA,"yes","first phalanx, carnivore",2016-06-10,"10:26:47 AM","2016","6/10/2016",-4.179,"Bone","4","yes","complete","isolated","1",NA,"1","phalanx","appendicular",NA,"I/II",NA,NA,NA,"first phalanx","Mammalia","Carnivora",NA,NA,NA,"Carnivora","stratified",NA,NA,NA,NA,NA,"first phalanx, carnivore",-21.549,4.846
"665","E21","64","0",0,-4.339,"Bone","4",NA,"GK",NA,NA,60,55,NA,"no","Not collected, bone frag,",2017-05-31,"10:33:29 AM","2017","5/31/2017",-4.339,"Bone","4","no","fragment","isolated","1",NA,"1",NA,NA,"fragment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stratified",60,NA,NA,NA,NA,"Not collected, bone frag,",-21.143,4.615
"666","E21","65","0",0,-4.162,"Bone","4",NA,"NT",NA,NA,60,45,40,"yes","Equus, radios",2017-06-01,"12:54:54 PM","2017","6/1/2017",-4.162,"Bone","4","yes","fragment","isolated","1",NA,"1","radius","appendicular","distal",NA,NA,NA,NA,"radius sin distal frag. (juvenile)","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",60,NA,NA,NA,NA,"Equus, radios",-21.083,4.845
"678","E22","6","0",0,-4.151,"Tooth","4",NA,"Prof.GK",NA,NA,NA,NA,NA,"yes","incisor, carnivore",2016-06-09,"2:58:18 PM","2016","6/9/2016",-4.151,"Tooth","4","yes","complete","isolated",NA,"1","1","tooth","cranial",NA,NA,NA,NA,NA,"incisor","Mammalia","Carnivora",NA,NA,NA,"Carnivora","stratified",NA,NA,NA,NA,NA,"incisor, carnivore",-22.029,4.717
"679","E23","3","0",0.150000006,-4.321,"Bone","4",NA,"VT",NA,NA,30,30,NA,"yes","epiphisys frag.",2017-06-07,"12:06:47 PM","2017","6/7/2017",-4.321,"Bone","4","yes","fragment","isolated","1",NA,"1","?femur",NA,"distal",NA,NA,NA,NA,"?femur distal frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",30,NA,NA,NA,NA,"epiphisys frag.",-23.22,4.4
"685","F16","1","0",0.1000000015,-3.592,"Tooth","4",NA,"DK",NA,NA,NA,NA,NA,"yes","isolated tooth, equus",2016-06-10,"10:48:10 AM","2016","6/10/2016",-3.592,"Tooth","4","yes","complete","isolated",NA,"1","1","tooth","cranial",NA,NA,NA,NA,NA,"lower tooth","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"isolated tooth, equus",-16.942,5.167
"686","F16","2","0",0,-3.454,"Tooth","4",NA,"GK",28,280,70,25,NA,"yes","Isolated equus",2017-05-30,"10:49:19 AM","2017","5/30/2017",-3.454,"Tooth","4","yes","complete","isolated",NA,"1","1","tooth","cranial",NA,NA,NA,NA,NA,"lower tooth","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",70,NA,NA,NA,NA,"Isolated equus",-16.276,5.589
"687","F16","3","0",0,-3.619,"Bone","4",NA,"GK",36,234,150,45,NA,"no","Not collected, long bone frag.",2017-05-30,"11:51:17 AM","2017","5/30/2017",-3.619,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone",NA,"fragment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stratified",150,NA,NA,NA,NA,"Not collected, long bone frag.",-16.634,5.526
"688","F16","5","0",0,-3.503,"Bone","4",NA,"DK",84,104,80,10,NA,"no","later metapodial, equus",2017-05-30,"2:10:23 PM","2017","5/30/2017",-3.503,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone",NA,"fragment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stratified",80,NA,NA,NA,NA,"later metapodial, equus",-16.145,5.049
"689","F16","6","0",0.15,-3.776,"Bone","4",NA,"GK",0,54,70,30,NA,"yes","lateral metapodial equus, almost complete",2017-05-31,"11:01:06 AM","2017","5/31/2017",-3.776,"Bone","4","yes","fragment","isolated","1",NA,"1","metapode","appendicular","fragment",NA,NA,NA,NA,"lateral metapode","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",70,NA,NA,NA,NA,"lateral metapodial equus, almost complete",-16.955,5.537
